date,total_revenue,total_qty,num_items,year,volta_as_aulas,carnaval,semana_santa,sao_joao,dia_namorados,dia_maes,dia_pais,dia_criancas,black_friday,natal
2023-08-19,38782.55,74,48,2023,0,0,0,0,0,0,0,0,0,0
2023-08-20,28295.28,92,66,2023,0,0,0,0,0,0,0,0,0,0
2023-08-21,6360.45,36,30,2023,0,0,0,0,0,0,0,0,0,0
2023-08-22,10898.65,35,34,2023,0,0,0,0,0,0,0,0,0,0
2023-08-23,11881.73,37,34,2023,0,0,0,0,0,0,0,0,0,0
2023-08-24,26369.48,62,41,2023,0,0,0,0,0,0,0,0,0,0
2023-08-25,3040.29,40,25,2023,0,0,0,0,0,0,0,0,0,0
2023-08-26,27653.039999999997,57,38,2023,0,0,0,0,0,0,0,0,0,0
2023-08-27,22939.850000000002,57,40,2023,0,0,0,0,0,0,0,0,0,0
2023-08-28,9076.46,49,27,2023,0,0,0,0,0,0,0,0,0,0
2023-08-29,18179.2,75,50,2023,0,0,0,0,0,0,0,0,0,0
2023-08-30,8342.75,56,36,2023,0,0,0,0,0,0,0,0,0,0
2023-08-31,9920.869999999999,42,34,2023,0,0,0,0,0,0,0,0,0,0
2023-09-01,16914.2,84,43,2023,0,0,0,0,0,0,0,0,0,0
2023-09-02,17229.84,49,35,2023,0,0,0,0,0,0,0,0,0,0
2023-09-03,32425.170000000002,81,52,2023,0,0,0,0,0,0,0,0,0,0
2023-09-04,2182.0,14,13,2023,0,0,0,0,0,0,0,0,0,0
2023-09-05,53701.47,71,43,2023,0,0,0,0,0,0,0,0,0,0
2023-09-06,7240.26,37,21,2023,0,0,0,0,0,0,0,0,0,0
2023-09-07,152234.83,197,98,2023,0,0,0,0,0,0,0,0,0,0
2023-09-08,19437.94,66,36,2023,0,0,0,0,0,0,0,0,0,0
2023-09-09,37460.37,96,54,2023,0,0,0,0,0,0,0,0,0,0
2023-09-10,22558.06,37,27,2023,0,0,0,0,0,0,0,0,0,0
2023-09-11,5806.36,51,29,2023,0,0,0,0,0,0,0,0,0,0
2023-09-12,15309.630000000001,35,22,2023,0,0,0,0,0,0,0,0,0,0
2023-09-13,27854.559999999998,37,27,2023,0,0,0,0,0,0,0,0,0,0
2023-09-14,16939.2,55,26,2023,0,0,0,0,0,0,0,0,0,0
2023-09-15,12916.820000000002,32,17,2023,0,0,0,0,0,0,0,0,0,0
2023-09-16,11821.77,45,31,2023,0,0,0,0,0,0,0,0,0,0
2023-09-17,15265.990000000002,57,31,2023,0,0,0,0,0,0,0,0,0,0
2023-09-18,7262.86,38,23,2023,0,0,0,0,0,0,0,0,0,0
2023-09-19,6843.0,18,15,2023,0,0,0,0,0,0,0,0,0,0
2023-09-20,7629.06,23,12,2023,0,0,0,0,0,0,0,0,0,0
2023-09-21,19045.03,54,38,2023,0,0,0,0,0,0,0,0,0,0
2023-09-22,33572.92,58,37,2023,0,0,0,0,0,0,0,0,0,0
2023-09-23,23179.710000000003,46,34,2023,0,0,0,0,0,0,0,0,0,0
2023-09-24,83338.96,66,34,2023,0,0,0,0,0,0,0,0,0,0
2023-09-25,25841.78,36,24,2023,0,0,0,0,0,0,0,0,0,0
2023-09-26,7808.21,36,27,2023,0,0,0,0,0,0,0,0,0,0
2023-09-27,15925.350000000002,34,20,2023,0,0,0,0,0,0,0,0,0,0
2023-09-28,42828.200000000004,40,24,2023,0,0,0,0,0,0,0,0,0,0
2023-09-29,2446.66,34,22,2023,0,0,0,0,0,0,0,0,0,0
2023-09-30,12933.65,27,25,2023,0,0,0,0,0,0,0,0,0,0
2023-10-01,490.53,17,16,2023,0,0,0,0,0,0,0,0,0,0
2023-10-02,5336.470000000001,17,12,2023,0,0,0,0,0,0,0,0,0,0
2023-10-03,68705.63,32,16,2023,0,0,0,0,0,0,0,0,0,0
2023-10-04,13077.279999999999,37,24,2023,0,0,0,0,0,0,0,0,0,0
2023-10-05,32287.24,48,26,2023,0,0,0,0,0,0,0,1,0,0
2023-10-06,8498.67,13,10,2023,0,0,0,0,0,0,0,1,0,0
2023-10-07,25200.78,79,37,2023,0,0,0,0,0,0,0,1,0,0
2023-10-08,29030.329999999998,79,43,2023,0,0,0,0,0,0,0,1,0,0
2023-10-09,9158.519999999999,9,9,2023,0,0,0,0,0,0,0,1,0,0
2023-10-10,38149.64,73,49,2023,0,0,0,0,0,0,0,1,0,0
2023-10-11,9409.460000000001,31,17,2023,0,0,0,0,0,0,0,1,0,0
2023-10-12,63656.340000000004,146,101,2023,0,0,0,0,0,0,0,1,0,0
2023-10-13,12484.25,30,22,2023,0,0,0,0,0,0,0,0,0,0
2023-10-14,11316.770000000002,39,30,2023,0,0,0,0,0,0,0,0,0,0
2023-10-15,11700.45,44,33,2023,0,0,0,0,0,0,0,0,0,0
2023-10-16,4333.16,27,22,2023,0,0,0,0,0,0,0,0,0,0
2023-10-17,17311.64,29,23,2023,0,0,0,0,0,0,0,0,0,0
2023-10-18,5108.37,18,13,2023,0,0,0,0,0,0,0,0,0,0
2023-10-19,742.97,19,15,2023,0,0,0,0,0,0,0,0,0,0
2023-10-20,13441.48,44,26,2023,0,0,0,0,0,0,0,0,0,0
