ym,total_revenue,total_qty,num_items
2023-08-01,221740.6,712,503
2023-09-01,755953.86,1554,940
2023-10-01,652108.29,1335,844
2023-11-01,838891.79,1811,1191
2023-12-01,1126791.18,2448,1613
2024-01-01,1674030.37,3521,2271
2024-02-01,1727579.65,4077,2643
2024-03-01,2526781.2,5326,3440
2024-04-01,2190084.05,5203,3407
2024-05-01,2125598.53,4947,3228
2024-06-01,1703362.45,3646,2283
2024-07-01,1412459.33,3042,1841
2024-08-01,846938.09,2061,1289
2024-09-01,585735.05,1514,966
2024-10-01,474018.21,1400,872
2024-11-01,1046512.08,2100,1338
2024-12-01,1045452.98,2419,1574
2025-01-01,1706483.88,3481,2129
2025-02-01,1676216.44,3776,2393
2025-03-01,2158910.74,4862,3175
2025-04-01,2503194.87,5935,3761
2025-05-01,2325928.58,5073,3216
2025-06-01,1626092.88,3988,2541
2025-07-01,1121471.89,2684,1749
2025-08-01,531874.46,1162,808
