date,y,total_qty,num_items,volta_as_aulas,carnaval,semana_santa,sao_joao,dia_namorados,dia_maes,dia_pais,dia_criancas,black_friday,natal,brand__anubis,brand__havit,brand__reddragon,brand__sony,cat__consoles,cat__headset,cat__mouse,cat__tvs,cat__teclado,year,month,day,weekday,lag1,lag2,ma3
2023-09-04,105194.03,401,263,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,9,4,0,111859.5,73438.28,96830.60333333333
2023-09-11,298439.29,555,308,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,9,11,0,105194.03,111859.5,171830.93999999997
2023-09-18,107370.83,299,177,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,9,18,0,298439.29,105194.03,170334.71666666667
2023-09-25,199450.46000000002,301,194,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,9,25,0,107370.83,298439.29,201753.5266666667
2023-10-02,87769.07,205,146,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10,2,0,199450.46000000002,107370.83,131530.12000000002
2023-10-09,185958.45,297,165,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10,9,0,87769.07,199450.46000000002,157725.99333333338
2023-10-16,151050.07,390,274,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10,16,0,185958.45,87769.07,141592.53000000003
2023-10-23,140095.45,254,166,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10,23,0,151050.07,185958.45,159034.6566666667
2023-10-30,151647.94,325,183,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,10,30,0,140095.45,151050.07,147597.82000000004
2023-11-06,144062.47999999998,359,247,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11,6,0,151647.94,140095.45,145268.62333333335
2023-11-13,177964.27000000002,244,170,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11,13,0,144062.47999999998,151647.94,157891.56333333335
2023-11-20,242387.50999999998,444,269,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11,20,0,177964.27000000002,144062.47999999998,188138.08666666667
2023-11-27,249394.84,673,449,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,11,27,0,242387.50999999998,177964.27000000002,223248.87333333338
2023-12-04,173512.28,413,251,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,12,4,0,249394.84,242387.50999999998,221764.87666666668
2023-12-11,270246.74,389,277,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,12,11,0,173512.28,249394.84,231051.28666666665
2023-12-18,238332.8,538,361,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,12,18,0,270246.74,173512.28,227363.94000000003
2023-12-25,227011.40000000002,719,463,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,12,25,0,238332.8,270246.74,245196.97999999998
2024-01-01,361454.58999999997,716,466,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,1,0,227011.40000000002,238332.8,275599.5966666667
