id,quantity,price_at_sale,created_at,updated_at,brand_id,product_id,sale_id,category_id,product_name,category_name,brand_name,sale_date
1,1,5000.0,2025-08-13 21:39:03.928037,2025-08-13 21:39:03.928037,3,4,1,3,PlayStation 5,Consoles,Sony,2025-08-13 21:37:27
3,2,340.0,2025-08-13 21:47:35.132998,2025-08-13 21:47:35.132998,4,6,6,5,Headset Gamer Havit,Headset,Havit,2025-08-13 21:46:20
4,1,1200.0,2025-08-13 21:47:35.133998,2025-08-13 21:47:35.133998,3,3,6,4,Monitor OLED 144Hz Sony,TVs,Sony,2025-08-13 21:46:20
5,1,1500.0,2025-08-13 23:23:25.010949,2025-08-13 23:23:25.010949,3,3,8,4,Monitor OLED 144Hz Sony,TVs,Sony,2025-08-13 23:23:03
6,2,169.99,2025-08-13 23:27:48.639070,2025-08-13 23:27:48.639070,4,6,9,5,Headset Gamer Havit,Headset,Havit,2025-08-13 23:26:33
7,1,169.99,2025-08-13 23:41:19.035175,2025-08-13 23:41:19.035175,4,6,10,5,Headset Gamer Havit,Headset,Havit,2025-08-13 23:41:02
8,1,1500.0,2025-08-13 23:41:19.036177,2025-08-13 23:41:19.036177,3,3,10,4,Monitor OLED 144Hz Sony,TVs,Sony,2025-08-13 23:41:02
9,2,5000.0,2025-08-13 23:44:12.856917,2025-08-13 23:44:12.856917,3,4,10,3,PlayStation 5,Consoles,Sony,2025-08-13 23:41:02
10,1,5000.0,2025-08-14 00:32:36.436314,2025-08-14 00:32:36.436314,3,4,10,3,PlayStation 5,Consoles,Sony,2025-08-13 23:41:02
11,2,1500.0,2025-08-14 01:26:54.656997,2025-08-14 01:26:54.656997,3,3,11,4,Monitor OLED 144Hz Sony,TVs,Sony,2025-08-14 01:26:45
12,1,169.99,2025-08-16 19:32:03.291288,2025-08-16 19:32:03.291288,4,6,12,5,Headset Gamer Havit,Headset,Havit,2025-08-16 19:31:38
16,2,5000.0,2025-08-16 20:16:13.531185,2025-08-16 20:16:13.531185,3,4,17,3,PlayStation 5,Consoles,Sony,2025-08-16 20:16:10.642381
17,1,120.0,2025-08-16 20:16:19.538373,2025-08-16 20:16:19.538373,1,2,17,1,Teclado Mecânico RGB,Teclado,RedDragon,2025-08-16 20:16:10.642381
25,2,5000.0,2025-08-16 20:51:47.136027,2025-08-16 20:51:47.136085,3,4,20,3,PlayStation 5,Consoles,Sony,2025-08-16 20:49:03
26,1,1500.0,2025-08-16 20:51:57.054519,2025-08-16 20:51:57.054557,3,3,20,4,Monitor OLED 144Hz Sony,TVs,Sony,2025-08-16 20:49:03
27,5,169.99,2025-08-16 21:08:08.860772,2025-08-16 21:08:08.860814,4,6,21,5,Headset Gamer Havit,Headset,Havit,2025-08-16 21:08:01
28,5,1500.0,2025-08-16 21:08:14.400492,2025-08-16 21:08:14.400533,3,3,21,4,Monitor OLED 144Hz Sony,TVs,Sony,2025-08-16 21:08:01
